authorityValue,dsQID,authorityValueLabel,authorityTypeLabel,externalID
https://catalog.digital-scriptorium.org/entity/Q22,Q22,Amate paper,Material (Authority File),http://vocab.getty.edu/aat/300264681
https://catalog.digital-scriptorium.org/entity/Q24,Q24,Bamboo,Material (Authority File),http://vocab.getty.edu/aat/300011873
https://catalog.digital-scriptorium.org/entity/Q23,Q23,Bark,Material (Authority File),http://vocab.getty.edu/aat/300011860
https://catalog.digital-scriptorium.org/entity/Q63761,Q63761,Ceramic,Material (Authority File),http://vocab.getty.edu/aat/300235507
https://catalog.digital-scriptorium.org/entity/Q25,Q25,Clay,Material (Authority File),http://vocab.getty.edu/aat/300010439
https://catalog.digital-scriptorium.org/entity/Q26528,Q26528,Cloth,Material (Authority File),http://vocab.getty.edu/aat/300162391
https://catalog.digital-scriptorium.org/entity/Q26,Q26,Leaf,Material (Authority File),http://vocab.getty.edu/aat/300011892
https://catalog.digital-scriptorium.org/entity/Q27,Q27,Leather,Material (Authority File),http://vocab.getty.edu/aat/300011845
https://catalog.digital-scriptorium.org/entity/Q28,Q28,Mica,Material (Authority File),http://vocab.getty.edu/aat/300011124
https://catalog.digital-scriptorium.org/entity/Q29,Q29,Mixed Media,Material (Authority File),http://vocab.getty.edu/aat/300163347
https://catalog.digital-scriptorium.org/entity/Q30,Q30,Palm Leaf,Material (Authority File),http://vocab.getty.edu/aat/300011894
https://catalog.digital-scriptorium.org/entity/Q31,Q31,Paper,Material (Authority File),http://vocab.getty.edu/aat/300014109
https://catalog.digital-scriptorium.org/entity/Q32,Q32,Papyrus,Material (Authority File),http://vocab.getty.edu/aat/300014127
https://catalog.digital-scriptorium.org/entity/Q33,Q33,Parchment,Material (Authority File),http://vocab.getty.edu/aat/300011851
https://catalog.digital-scriptorium.org/entity/Q34,Q34,Silk,Material (Authority File),http://vocab.getty.edu/aat/300014072
https://catalog.digital-scriptorium.org/entity/Q35,Q35,Skin,Material (Authority File),http://vocab.getty.edu/aat/300011840
https://catalog.digital-scriptorium.org/entity/Q36,Q36,Stone,Material (Authority File),http://vocab.getty.edu/aat/300011176
https://catalog.digital-scriptorium.org/entity/Q38412,Q38412,Undetermined,Material (Authority File),http://vocab.getty.edu/aat/300379012
https://catalog.digital-scriptorium.org/entity/Q37,Q37,Wax,Material (Authority File),http://vocab.getty.edu/aat/300014585
https://catalog.digital-scriptorium.org/entity/Q38,Q38,Wood,Material (Authority File),http://vocab.getty.edu/aat/300011914
